Lab ID,total_readCount
F1630917,7662988
F1630918,7513211
F1630919,7197938
F1630920,6659960
F1630929,9080390
F1630930,8479692
F1630934,7173460
F1630935,9960698
F1630938,10957653
F1630939,9043130
F1630941,8396359
F1630943,8247789
F1630946,8535314
F1630948,8156046
F1630950,7739023
F1630954,9235191
F1630956,6936529
F1630957,8602234
F1630962,7929774
F1630965,6514008
F1630970,8774911
F1630972,8181462
F1630974,9388520
F1630976,8593648
F1630977,8405503
F1630978,8600717
F1630980,13121745
F1630981,8554916
F1630985,6910320
F1630996,7673396
F1630997,7723569
F1630998,7176626
F1631000,10831942
F1631001,7986672
F1631003,7205476
F1631005,7083228
F1631007,7592533
F1631010,7020344
F1631012,7038550
F1631015,9605093
F1631017,8634306
F1631020,8718384
F1631026,8388587
F1631030,8677770
F1631032,9236695
F1631033,7744502
F1631034,9948117
F1631037,8909122
F1631038,12220135
F1631044,9171919
F1631046,8515371
F1631047,8770002
F1631052,9134922
F1631053,8643572
F1631056,11996154
F1631058,10210049
F1631064,9756923
F1631066,8300266
F1631067,7602993
F1631070,8239351
F1631071,8759209
F1631072,7200334
F1631073,8624775
F1631076,6724916
F1631080,6742745
F1631081,6917316
F1631082,8737618
F1631083,7815564
F1631085,7186396
F1631091,6906997
F1631093,7651291
F1631094,8194635
F1631095,7947701
F1631098,8147134
F1631100,7878616
F1631101,11486321
F1631102,6807513
F1631103,10769451
F1631104,6627543
F1631105,9247493
F1631106,6466803
F1631108,8243881
F1631109,7529271
F1631114,8144367
F1631118,7730814
F1631120,8308191
F1631129,10369432
F1631131,9777261
F1631133,9328512
F1631134,6994027
F1631135,9280405
F1631136,9231024
F1631139,8092242
F1631145,8268192
F1631146,7192600
F1631149,6988116
F1631150,7437685
F1631153,7070202
F1631158,10483017
F1631159,8174357
F1631161,10340536
F1631162,9288602
F1631164,7543473
F1631165,6982644
F1631166,7832730
F1631168,6553574
F1631170,8189001
F1631172,7952629
F1631173,6848909
F1631174,6820509
F1631175,5158360
F1631177,8018938
F1631180,8561977
F1631183,8578218
F1631188,8462713
F1631198,9247251
F1631200,6297372
F1631207,7780234
F1631212,6556551
F1631213,8430829
F1631218,8301802
F1631219,6631004
F1631221,8254002
F1631223,6205992
F1631225,7076349
F1631232,6008781
F1631233,5782121
F1631236,9555502
F1631237,6252248
F1631241,7350630
F1631243,7124113
F1631244,8982852
F1631248,8323154
F1631249,7259927
F1631250,8018343
F1631251,7962641
F1631255,7535444
F1631259,10740810
F1631262,7385951
F1631264,7910015
F1631265,6969811
F1631266,9772571
F1631269,7557615
F1631270,11435771
F1631274,8734544
F1631275,6258421
F1631279,8126481
F1631283,7958010
F1631290,7930271
F1631291,8421302
F1631292,7407689
F1631293,8985461
F1631294,10606989
F1631300,10724305
F1631306,10297755
F1631307,5502153
F1631309,8421495
F1631311,7066489
F1631312,9368726
F1631313,8769376
F1631314,8247330
F1631318,6397199
F1631323,7768123
F1631328,7848154
F1631330,8912019
F1631337,9041284
F1631340,8296075
F1631342,9170045
F1631346,6809658
F1631351,9009217
F1631357,7971187
F1631367,8777612
F1631368,8724588
F1631370,9468160
F1631379,9467357
F1631382,7137729
F1631384,6193369
F1631387,10949935
F1631389,8860216
F1631390,8827905
F1631392,7963051
F1631393,8091280
F1631396,8422138
F1631404,10203471
F1631406,7721675
F1631407,9227130
F1631408,7313768
F1631409,8310910
F1631410,6437680
F1631411,7921573
F1631412,8308486
F1631414,6994865
F1631416,7551759
F1631418,6960624
F1631420,7419866
F1631429,8577367
F1631435,7247973
F1631437,9287938
F1631469,9987829
F1631527,7166593
F1631530,6684722
F1631542,7278351
F1631545,8488129
F1631560,6734252
F1631563,10794060
F1631565,10658072
F1631569,7528388
F1631576,7878422
F1631578,7794303
F1631582,8318042
F1631588,7770910
F1631591,7329273
F1631593,6464904
F1631594,8690916
F1631598,8265372
F1631607,9279667
F1631617,6907635
F1631623,9694163
F1631625,10763751
F1631626,7004227
F1631637,7789689
F1631640,10533840
F1631646,8152166
F1631649,8386243
F1631653,6576427
F1631664,7016086
F1631665,7840682
F1631673,6833593
F1631690,9369607
F1631695,7739166
F1631697,9816565
F1631715,8448850
F1631717,8161106
F1631718,6157375
F1631720,9142676
F1631725,8482736
F1631730,8902485
F1631750,8212261
F1631753,6486951
F1631761,9065213
F1631766,10033210
F1631778,6112514
F1631813,6912615
F1631818,7796564
F1631820,7596802
F1631823,8187317
F1631824,7790455
F1631827,9596318
F1631838,8040009
F1631849,7943659
F1631859,7044902
F1631888,6466829
F1631896,8117516
F1631899,7286718
F1631903,6501035
F1631905,7571161
F1631909,9907397
F1631910,9516631
F1631912,6378221
F1631916,6266871
F1631918,8439293
F1631923,9352281
F1631925,11232382
F1631927,7307987
F1631928,7025569
F1631929,8581535
F1631930,4804489
F1631934,8075594
F1631935,8764492
F1631942,8110131
F1631946,7310762
F1631947,5570592
F1631949,6975267
F1631954,7499977
F1631958,6324502
F1631959,8520109
F1631960,9620682
F1631965,6849934
F1631966,8358343
F1631967,10289389
F1631970,7979178
F1631973,7540243
F1631975,8851671
F1631976,6894559
F1631977,8010225
F1631982,8357510
F1631984,7481306
F1631986,10097707
F1631988,6863932
F1631990,8806556
F1631991,7501127
F1631992,8805400
F1631993,6528330
F1631994,11749590
F1631996,7519281
F1631997,8218404
F1631999,7829483
F1632000,8491072
F1632004,6131453
F1632005,6578542
F1632007,7354121
F1632008,5160969
F1632009,7502514
F1632010,10662702
F1632012,7974488
F1632013,7117706
F1632014,8542579
F1632016,6404198
F1632022,9878184
F1632023,5959482
F1632026,8045987
F1632029,7015900
F1632030,7980123
F1632031,7458080
F1632033,7692099
F1632034,7690474
F1632039,7805365
F1632040,11671200
F1632041,8547622
F1632042,8032629
F1632043,5968950
F1632045,8239432
F1632046,9537439
F1632047,9187999
F1632055,7375635
F1632058,8223863
F1632064,7991825
F1632066,8401526
F1632070,7640331
F1632071,8104693
F1632077,7378250
F1632078,10353040
F1632081,10918162
F1632087,8914741
F1632095,8630165
F1632098,7812409
F1632103,8456832
F1632104,7528015
F1632105,6909611
F1632107,8155185
F1632110,7653507
F1632111,7761383
F1632113,9678849
F1632114,7622215
F1632116,7426244
F1632119,9773189
F1632121,10958569
F1632124,7761231
F1632127,8807505
F1632141,8009205
F1632142,7313833
F1632143,6873059
F1632145,10721527
F1632148,8509734
F1632150,8240701
F1632151,9870102
F1632153,8859300
F1632159,7885872
F1632162,8828890
F1632163,15812703
F1632169,12573815
F1632171,7973106
F1632172,6835833
F1632176,9612761
F1632179,8513084
F1632180,7901316
F1632184,7662037
F1632186,8182289
F1632190,8343067
F1632193,10989254
F1632199,5938014
F1632200,7234297
F1632201,8191668
F1632202,7497795
F1632204,8192619
F1632205,8183847
F1632207,8531356
F1632208,7676222
F1632210,6974853
F1632211,9165043
F1632217,8850158
F1632220,7860215
F1632224,6587422
F1632226,7442465
F1632234,5775628
F1632235,8019695
F1632237,8247155
F1632243,6142179
F1632244,8287883
F1632245,7450817
F1632246,7640312
F1632248,7696256
F1632253,8235706
F1632254,16211760
F1632258,7533066
F1632259,7943480
F1632266,6957465
F1632269,7422730
F1632270,8810728
F1632274,9382888
F1632275,8384632
F1632277,8241808
F1632281,7399733
F1632284,6585768
F1632285,9385254
F1632287,7405381
F1632288,9263424
F1632292,8436828
F1632294,9948201
F1632297,7306719
F1632298,8427307
F1632299,6440046
F1632305,9866595
F1632306,6624907
F1632308,6967179
F1632309,8030191
F1632311,9432143
F1632314,7896153
F1632319,6085021
F1632320,8524908
F1632323,8218177
F1632325,8901483
F1632329,8337382
F1632330,9316059
F1632331,6606289
F1632332,7436848
F1632335,8107308
F1632336,8843652
F1632339,8318970
F1632341,8501686
F1632342,7974089
F1632343,6621272
F1632345,7546884
F1632347,9174366
F1632348,8062670
F1632350,8050098
F1632351,10527409
F1632352,10001711
F1632354,6774238
F1632355,7907816
F1632359,6897563
F1632363,6983159
F1632365,8818607
F1632368,8790204
F1632372,7067381
F1632381,6939526
F1632384,9773894
F1632385,5412671
F1632386,7089834
F1632389,10696538
F1632390,7178846
F1632392,9198891
F1632394,6889989
F1632395,7087327
F1632396,9818268
F1632402,7359020
F1632403,8350663
F1632409,9328819
F1632412,8677571
F1632413,9796899
F1632414,9164748
F1632417,8120641
F1632418,8847389
F1632420,7605211
F1632421,8087180
F1632422,8247594
F1632423,8110006
F1632424,8041665
F1632425,9602026
F1632429,6139530
F1632434,7760178
F1632440,11009598
F1632443,9490699
F1632444,8432266
F1632446,8455151
F1632449,8316869
F1632452,8489556
F1632453,12142294
F1632455,10575594
F1632456,9133210
F1632457,7653676
F1632461,9999823
F1632463,9103748
F1632468,6334440
F1632474,8402326
F1632475,9079800
F1632477,9807104
F1632482,7919498
F1632485,8622028
F1632489,7999771
F1632491,7954941
F1632493,6807351
F1632494,10162743
F1632496,9680354
F1632500,11564605
F1632502,7637251
F1632503,6949098
F1632505,7223435
F1632510,8474066
F1632512,7794386
F1632514,7664030
F1632515,8754133
F1632518,8513254
F1632522,5351568
F1632524,7301142
F1632526,6590034
F1632528,7475443
F1632529,8351242
F1632531,7074680
F1632533,10271873
F1632536,5886715
F1632539,6341386
F1632545,9040581
F1632546,9500713
F1632550,10096785
F1632554,9025305
F1632560,10110994
F1632561,8128032
F1632573,9526251
F1632576,10053335
F1632577,7233838
F1632584,10002068
F1632586,10277070
F1632588,9976834
F1632590,8383334
F1632595,8680615
F1632596,9314845
F1632599,10210886
F1632601,6564179
F1632602,10793499
F1632605,8005404
F1632612,7689321
F1632613,8843983
F1632617,9518819
F1632624,7520793
F1632627,9065809
F1632629,10875884
F1632630,8336746
F1632631,8823142
F1632632,6673922
F1632634,7442691
F1632636,8763742
F1632637,8493675
F1632642,9111977
F1632646,7743164
F1632649,6668568
F1632654,13195034
F1632657,8390419
F1632659,8320363
F1632660,8128470
F1632664,8982691
F1632666,11507045
F1632669,8700797
F1632674,8615415
F1632676,9696856
F1632686,8105449
F1632687,7998855
F1632688,7343771
F1632689,8261757
F1632693,7052382
F1632694,9985475
F1632695,7904130
F1632697,8352708
F1632711,9249428
F1632717,8882972
F1632719,7843282
F1632722,9729075
F1632723,10213945
F1632724,6933310
F1632727,9457330
F1632728,11645337
F1632730,9731343
F1632738,8587905
F1632740,9231059
F1632742,8876977
F1632745,7888326
F1632751,7443581
F1632753,9936070
F1632755,8673508
F1632757,9068581
F1632766,7470505
F1632769,9222727
F1632770,9002717
F1632771,9245609
F1632785,11557779
F1632787,9389957
F1632788,9251483
F1632789,8368930
F1632794,9132884
F1632800,8600156
F1632801,7299933
F1632802,10604019
F1632808,6751440
F1632809,7313483
F1632820,10393008
F1632823,7611466
F1632826,10394177
F1632828,7397270
F1632833,8985244
F1632834,9835961
F1632840,8281291
F1632847,10170679
F1632848,7458215
F1632852,11627077
F1632853,7505227
F1632855,9719129
F1632856,5813197
F1632857,10840767
F1632858,9116504
F1632861,5948821
F1632862,7805728
F1632864,9327122
F1632868,8955199
F1632874,7774933
F1632875,8813222
F1632877,8368147
F1632890,9534883
F1632896,13059912
F1632898,6884770
F1632904,8930578
F1632905,12377075
F1632906,7662887
F1632911,7832745
F1632916,11362600
F1632918,10093016
F1632923,9240760
F1632926,5308181
F1632929,8086684
F1632931,7115916
F1632933,10718019
F1632938,7251609
F1632949,6741816
F1632951,10213623
F1632953,9070136
F1632954,7327846
F1632956,9001328
F1632957,7918851
F1632958,7426480
F1632966,8500674
F1632968,8378488
F1632975,7791727
F1632978,9982060
F1632980,8669379
F1632981,7848262
F1632985,8508351
F1632994,10155981
F1632998,10276919
F1633007,7042455
F1633016,10529919
F1633017,10755059
F1633022,8722767
F1633025,8923158
F1633026,9041076
F1633029,9969970
F1633035,8694716
F1633039,12564141
F1633042,10485870
F1633045,14259319
F1633046,7230607
F1633047,7838238
F1633048,8546059
F1633053,7606333
F1633055,11320511
F1633056,9472806
F1633060,14492535
F1633065,9226170
F1633067,8172633
F1633071,9942394
F1633080,8697527
F1633083,9812739
F1633089,7399890
F1633091,8656835
F1633092,10321701
F1633096,9010497
F1633101,10614336
F1633102,9109484
F1633104,7270797
F1633107,6605790
F1633108,9533439
F1633114,9935636
F1633116,10532897
F1633123,6792198
F1633126,8222919
F1633128,9793801
F1633130,9685617
F1633131,9514131
F1633133,10337921
F1633141,8782668
F1633142,7577393
F1633145,9212068
F1633147,10633062
F1633157,9490066
F1633158,7941361
F1633167,10273925
F1633173,9239037
F1633176,7577317
F1633177,12908974
F1633184,7777427
F1633185,8824641
F1633198,11257936
F1633201,7535256
F1633202,7653057
F1633205,8931275
F1633207,8966166
F1633210,10056669
F1633213,7061438
F1633224,6347645
F1633225,11749624
F1633236,8945871
F1633240,8133925
F1633255,9323264
F1633270,7296473
F1633274,9065200
F1633279,13146955
F1633284,9726762
F1633285,8468534
F1633288,7969715
F1633292,8260895
F1633296,9458772
F1633303,8591246
F1633305,8544340
F1633306,7841785
F1633307,11665602
F1633308,8802320
F1633310,8761297
F1633312,10675879
F1633314,12351947
F1633317,10522194
F1633320,7259380
F1633321,6624382
F1633322,9442461
F1633324,9254327
F1633326,10292829
F1633331,7395235
F1633333,10472505
F1633334,7637268
F1633335,10050945
F1633340,8642606
F1633342,8018165
F1633344,9050399
F1633350,10119608
F1633355,10149267
F1633358,9734704
F1633363,11677415
F1633364,12954518
F1633375,7851295
F1633378,9408005
F1633379,8417652
F1633382,8399711
F1633386,10538652
F1633390,10226835
F1633393,6866662
F1633397,6879291
F1633409,7178390
F1633410,8346316
F1633412,10916888
F1633914,9247599
F1633915,14281517
F1633916,8793504
F1633923,8813363
F1633928,8518291
F1633934,7006643
F1633935,8940073
F1633938,7306427
F1633939,9391260
F1633945,8683805
F1633949,7324750
F1633951,11172922
F1633952,9051446
F1633954,10426912
F1633955,6667896
F1633960,9060928
F1633962,7294760
F1633964,8115781
F1633965,8070250
F1633966,8627839
F1633968,9003549
F1633975,8290388
F1633978,5933423
F1633980,9244394
F1633982,10542846
F1633987,6191960
F1633990,10011298
F1633994,7697557
F1633996,8715238
F1633997,7942785
F1634000,6028713
F1634001,7398983
F1634008,7678359
F1634010,8160277
F1634012,7406549
F1634013,7367097
F1634015,7685084
F1634017,9346632
F1634018,12013860
F1634020,10368590
F1634022,6184862
F1634023,7964158
F1634027,7023396
F1634030,9100450
F1634031,6662126
F1634032,7913365
F1634034,9773986
F1634037,9864077
F1634039,8812940
F1634041,8440926
F1634042,7898676
F1634043,7774327
F1634044,7702661
F1634046,8921924
F1634047,12723586
F1634048,7583750
F1634058,9459274
F1634059,10019785
F1634060,8236934
F1634062,10025132
F1634066,8270869
F1634067,8426104
F1634070,7223165
F1634077,9043788
F1634080,8183280
F1634081,8188255
F1634082,13272192
F1634084,10037152
F1634089,7005313
F1634091,7514608
F1634093,8645175
F1634095,11558742
F1634096,9030970
F1634097,9072127
F1634099,8498941
F1634104,8028880
F1634108,7342260
F1634110,9348299
F1634117,9257583
F1634119,9456420
F1634120,11022169
F1634121,10635128
F1634123,7274956
F1634125,7114093
F1634130,9308227
F1634134,8758094
F1634135,8564183
F1634143,8196995
F1634144,6267346
F1634146,7564079
F1634147,7098588
F1634151,7137460
F1634154,7196924
F1634155,10663393
F1634157,10443035
F1634158,7734774
F1634159,9377664
F1634160,6987993
F1634163,8373356
F1634164,12496086
F1634165,8530938
F1634167,8083534
F1634168,7729415
F1634170,7311031
F1634174,7687998
F1634175,7270930
F1634177,10648637
F1634179,6599366
F1634180,7780958
F1634183,8974900
F1634184,8659505
F1634185,7964961
F1634190,9417731
F1634191,8445781
F1634195,6368727
F1634198,5309403
F1634201,11237703
F1634202,8779321
F1634204,7623355
F1634205,11747550
F1634214,6929085
F1634215,8363697
F1634216,7585164
F1634217,13898030
F1634220,8205147
F1634221,7818724
F1634227,8404943
F1634230,8998577
F1634234,8130015
F1634235,6976329
F1634237,8583828
F1634240,7849821
F1634241,7895125
F1634242,9118103
F1634246,7407710
F1634247,8739564
F1634248,9501674
F1634251,6779033
F1634255,7094354
F1634256,5636832
F1634258,12079816
F1634261,14947081
F1634263,10336117
F1634264,10957480
F1634266,7001121
F1634276,9701713
F1634280,7872117
F1634283,8100926
F1634287,7434015
F1634289,8271620
F1634293,10423231
F1634294,7389545
F1634305,7942513
F1634306,7430981
F1634307,11968731
F1634318,11119097
F1634319,5929960
F1634320,8125673
F1634322,7070535
F1634323,7897271
F1634324,10722719
F1634329,7719230
F1634330,6678341
F1634335,7529937
F1634342,10958940
F1634343,6122794
F1634344,7713686
F1634346,8585554
F1634349,8353169
F1634350,8158960
F1634352,7748711
F1634353,6388724
F1634354,6251412
F1634357,9055730
F1634358,7721595
F1634360,10634784
F1634364,7564092
F1634368,9260238
F1634369,6562842
F1634373,6915627
F1634377,7731739
F1634379,8385703
F1634383,8084510
F1634388,8742156
F1634389,8445647
F1634391,9244161
F1634393,9421337
F1634395,6865521
F1634400,9666438
F1634402,8552725
F1634405,8123419
F1634406,7133007
F1634410,7106917
F1634411,8111437
F1634413,10446355
F1634415,8824215
F1634421,7160776
F1634435,7540437
F1634438,9713836
F1634440,8322845
F1634441,7485887
F1634442,9732613
F1634449,8398755
F1634450,8438748
F1634454,9198498
F1634455,9472588
F1634459,9573364
F1634465,9498257
F1634466,7134990
F1634468,8455416
F1634471,8221485
F1634474,7505824
F1634476,8015561
F1634477,8347004
F1634485,6078950
F1634488,7685373
F1634489,7514350
F1634492,7817183
F1634495,9967823
F1634498,8325837
F1634501,7040151
F1634506,10704257
F1634507,9468341
F1634509,10029029
F1634513,8938601
F1634517,9995610
F1634518,8132044
F1634520,6131810
F1634522,6500138
F1634524,9211629
F1634525,8970889
F1634542,10538439
F1634544,8402708
F1634545,6227083
F1634547,8414756
F1634549,9651922
F1634560,7216839
F1634565,8099695
F1634566,8813481
F1634575,7026218
F1634580,9374593
F1634582,7757254
F1634583,8519841
F1634591,7651203
F1634594,8955978
F1634606,7679331
F1634607,7811533
F1634611,7019101
F1634613,7229676
F1634621,8251046
F1634624,8500361
F1634626,12071145
F1634629,6754064
F1634631,9445797
F1634638,8763710
F1634641,6954920
F1634644,8269976
F1634650,8538532
F1634659,8735034
F1634677,10687137
F1634678,7239276
F1634710,7897531
F1634717,10396894
F1634720,8772615
F1634724,7490604
F1634725,6133214
F1634727,6531035
F1634730,17767265
F1634734,10220929
F1634738,7693295
F1634740,10587540
F1634743,8432540
F1634744,7847156
F1634748,9815242
F1634758,7266218
F1634762,9955251
F1634763,8206502
F1634770,10518102
F1634774,8091868
F1634775,10563139
F1634776,9874521
F1634777,5965039
F1634778,9349322
F1634780,10022224
F1634786,9471054
F1634789,9318783
F1634798,8251015
F1634803,8299235
F1634809,8225442
F1634816,8839341
F1634824,7720182
F1634825,8251003
F1634828,7262877
F1634830,12601509
F1634831,8283844
F1634835,7223476
F1634837,7422019
F1634858,8347461
F1634915,10944538
F1634916,8727927
F1634920,8752758
F1634921,10384295
F1634924,8105138
F1634926,9943840
F1634927,9074134
F1634930,8265829
F1634934,9575859
F1634935,6976853
F1634936,8838593
F1634938,7030881
F1634941,8811072
F1634942,8612654
F1634943,7661557
F1634945,8161897
F1634955,5612374
F1634963,9016951
F1634970,9349418
F1634974,7707967
F1634975,7942385
F1634985,11484575
F1634987,8412484
F1634993,7141524
F1634994,8979311
F1634995,10088563
F1635000,8939256
F1635002,6430666
F1635004,7979931
F1635005,8015030
F1635006,8799075
F1635008,10547771
F1635010,7741470
F1635012,11034000
F1635013,11370697
F1635018,11060821
F1635019,8549711
F1635020,6912450
F1635024,13640708
F1635027,8952775
F1635031,8381994
F1635034,8273718
F1635035,10635341
F1635039,8329918
F1635041,12791546
F1635042,9107808
F1635044,8095820
F1635046,8265922
F1635047,8738346
F1635048,10249414
F1635049,6941723
F1635050,7823483
F1635053,9512187
F1635055,7334303
F1635063,9205195
F1635066,8971256
F1635067,8663947
F1635069,11224552
F1635081,8871435
F1635084,9642190
F1635086,11064245
F1635102,8137368
F1635104,7279449
F1635107,7549156
F1635108,5645772
F1635109,6954552
F1635111,11410480
F1635114,9704087
F1635118,12256431
F1635121,12385709
F1635126,7219835
F1635127,5915010
F1635133,8401791
F1635135,8129513
F1635140,8404208
F1635141,7705990
F1635144,8040138
F1635146,8780883
F1635149,9295010
F1635151,8407205
F1635153,7950040
F1635154,8879188
F1635158,9190135
F1635162,12135855
F1635163,9329702
F1635165,6355331
F1635167,7853611
F1635169,9156968
F1635170,8093822
F1635171,7889197
F1635173,9215775
F1635174,10908978
F1635179,8644055
F1635180,9575144
F1635183,9355736
F1635184,7629710
F1635196,12358983
F1635207,7415160
F1635210,7989538
F1635213,12667967
F1635214,10063334
F1635216,9451709
F1635217,12172964
F1635219,10246052
F1635221,10002081
F1635222,7960517
F1635227,9629399
F1635229,9267635
F1635232,8014354
F1635234,8982454
F1635235,7775053
F1635236,8179533
F1635242,9109291
F1635245,7327231
F1635246,9097161
F1635247,7805617
F1635248,10828745
F1635252,7821999
F1635253,8068673
F1635254,9644662
F1635255,5995135
F1635256,8541309
F1635257,7180760
F1635259,7999253
F1635260,6645018
F1635261,7400753
F1635263,6701599
F1635265,10203507
F1635268,9169059
F1635273,9580909
F1635274,8505576
F1635275,11568349
F1635279,9256615
F1635289,7302619
F1635296,9428267
F1635300,9774700
F1635305,10245710
F1635307,10171376
F1635310,8855175
F1635311,11630222
F1635312,9748409
F1635316,8565285
F1635317,9644889
F1635319,7416642
F1635320,9453299
F1635334,8435347
F1635336,8060891
F1635341,8221828
F1635343,7221766
F1635346,9285229
F1635347,6597242
F1635348,9973603
F1635349,8280490
F1635351,7633287
F1635355,9856204
F1635356,10262786
F1635358,8000013
F1635359,6508575
F1635360,8161940
F1635361,10350655
F1635367,8514301
F1635374,9105365
F1635376,11178056
F1635378,9973265
F1635380,7759823
F1635382,10714068
F1635389,11395295
F1635391,8612054
F1635392,8534259
F1635394,9068003
F1635397,9088161
F1635398,12170954
F1635399,7763927
F1635400,10346020
F1635403,8728150
F1635406,8858743
F1635408,8790179
F1635420,7216276
F1635421,7529847
F1635425,8653337
F1635428,7916031
F1635438,7846210
F1635439,9806820
F1635440,6739718
F1635449,5436444
F1635451,7529972
F1635453,9143258
F1635455,6786591
F1635456,8842650
F1635463,6807911
F1635464,6663663
F1635474,8646549
